filename,from,to,original_D,original_rTRE,rigid_D,rigid_rTRE,non_rigid_D,non_rigid_rTRE,processed_img_shape,shape,aligned_shape,mean_original_D,mean_rigid_D,physical_units,resolution,name,rigid_time_minutes,mean_non_rigid_D,non_rigid_time_minutes
/mnt/d/uni/THESIS/09816/crops/VE0D6A800069B1_groi.ome.tiff,VE0D6A800069B1_groi,,,,,,,,"(624, 132)","(5568, 1176)","(5568, 2058)",113.494166157,13.1952752065,px,1.0,crops,0.507517198722,12.8330354492,0.85468578736
/mnt/d/uni/THESIS/09816/crops/VE0D6A800067E4_groi.ome.tiff,VE0D6A800067E4_groi,VE0D6A800069B1_groi,337.353351771,0.528925563383,41.301261841,0.0647549315073,34.179825776,0.0647549315073,"(624, 176)","(4992, 1408)","(5568, 2058)",113.494166157,13.1952752065,px,1.0,crops,0.507517198722,12.8330354492,0.85468578736
/mnt/d/uni/THESIS/09816/crops/VE0D6A800067E3_groi.ome.tiff,VE0D6A800067E3_groi,VE0D6A800067E4_groi,99.2226333766,0.155568003056,11.403454565,0.0178791128015,11.4721289621,0.0178791128015,"(624, 183)","(5024, 1472)","(5568, 2058)",113.494166157,13.1952752065,px,1.0,crops,0.507517198722,12.8330354492,0.85468578736
